ImageID,detectorType,descriptorType,numMatchedKpts,cameraTTC
1,SHITOMASI,BRISK,102,12.943
2,SHITOMASI,BRISK,101,12.6659
3,SHITOMASI,BRISK,86,14.715
4,SHITOMASI,BRISK,100,12.4414
5,SHITOMASI,BRISK,102,12.0656
6,SHITOMASI,BRISK,98,14.4568
7,SHITOMASI,BRISK,117,12.9101
8,SHITOMASI,BRISK,98,13.5026
9,SHITOMASI,BRISK,107,11.6078
10,SHITOMASI,BRISK,105,12.3281
11,SHITOMASI,BRISK,100,11.0982
12,SHITOMASI,BRISK,124,12.1296
13,SHITOMASI,BRISK,112,13.1009
14,SHITOMASI,BRISK,115,11.9325
15,SHITOMASI,BRISK,111,10.1483
16,SHITOMASI,BRISK,97,10.9093
17,SHITOMASI,BRISK,104,11.1009
18,SHITOMASI,BRISK,111,10.3596
0,SHITOMASI,BRIEF,-,-
1,SHITOMASI,BRIEF,118,13.6844
2,SHITOMASI,BRIEF,134,13.0251
3,SHITOMASI,BRIEF,142,10.216
4,SHITOMASI,BRIEF,134,11.616
5,SHITOMASI,BRIEF,134,12.3658
6,SHITOMASI,BRIEF,149,13.085
7,SHITOMASI,BRIEF,159,13.3614
8,SHITOMASI,BRIEF,161,12.8674
9,SHITOMASI,BRIEF,133,11.6078
10,SHITOMASI,BRIEF,153,13.0136
11,SHITOMASI,BRIEF,128,11.4009
12,SHITOMASI,BRIEF,158,11.1977
13,SHITOMASI,BRIEF,152,12.2631
14,SHITOMASI,BRIEF,157,12.1402
15,SHITOMASI,BRIEF,158,11.7063
16,SHITOMASI,BRIEF,136,12.5139
17,SHITOMASI,BRIEF,129,10.1726
18,SHITOMASI,BRIEF,147,8.9576
1,SHITOMASI,ORB,132,13.5673
2,SHITOMASI,ORB,100,12.306
3,SHITOMASI,ORB,118,11.8924
4,SHITOMASI,ORB,122,12.5963
5,SHITOMASI,ORB,114,13.0928
6,SHITOMASI,ORB,127,13.4042
7,SHITOMASI,ORB,122,12.4126
8,SHITOMASI,ORB,129,13.7119
9,SHITOMASI,ORB,133,10.7009
10,SHITOMASI,ORB,119,12.9164
11,SHITOMASI,ORB,107,11.1203
12,SHITOMASI,ORB,149,11.5554
13,SHITOMASI,ORB,140,12.3436
14,SHITOMASI,ORB,130,11.426
15,SHITOMASI,ORB,121,9.64517
16,SHITOMASI,ORB,123,12.0362
17,SHITOMASI,ORB,126,10.7261
18,SHITOMASI,ORB,128,8.1958
0,SHITOMASI,FREAK,-,-
1,SHITOMASI,FREAK,67,12.5213
2,SHITOMASI,FREAK,74,12.7667
3,SHITOMASI,FREAK,64,12.6507
4,SHITOMASI,FREAK,82,11.616
5,SHITOMASI,FREAK,88,12.3152
6,SHITOMASI,FREAK,80,13.2214
7,SHITOMASI,FREAK,89,13.6719
8,SHITOMASI,FREAK,97,12.0524
9,SHITOMASI,FREAK,88,12.3043
11,SHITOMASI,FREAK,78,11.1986
12,SHITOMASI,FREAK,92,12.16
13,SHITOMASI,FREAK,88,12.694
14,SHITOMASI,FREAK,101,12.1545
15,SHITOMASI,FREAK,92,11.3317
16,SHITOMASI,FREAK,84,9.73452
17,SHITOMASI,FREAK,79,11.1383
18,SHITOMASI,FREAK,80,7.61304
0,SHITOMASI,SIFT,-,-
1,SHITOMASI,SIFT,152,14.0226
2,SHITOMASI,SIFT,168,13.0387
3,SHITOMASI,SIFT,178,11.2376
4,SHITOMASI,SIFT,171,12.7425
5,SHITOMASI,SIFT,174,12.0557
6,SHITOMASI,SIFT,170,12.8027
7,SHITOMASI,SIFT,190,12.6031
8,SHITOMASI,SIFT,191,12.8697
9,SHITOMASI,SIFT,174,11.802
10,SHITOMASI,SIFT,175,13.3447
11,SHITOMASI,SIFT,164,12.0016
12,SHITOMASI,SIFT,188,11.4149
13,SHITOMASI,SIFT,195,12.0341
14,SHITOMASI,SIFT,183,10.7643
15,SHITOMASI,SIFT,180,11.7682
16,SHITOMASI,SIFT,182,11.0189
17,SHITOMASI,SIFT,183,10.8127
18,SHITOMASI,SIFT,192,9.22153
0,SHITOMASI,AKAZE,-,-
1,SHITOMASI,AKAZE,-,-
2,SHITOMASI,AKAZE,-,-
3,SHITOMASI,AKAZE,-,-
4,SHITOMASI,AKAZE,-,-
5,SHITOMASI,AKAZE,-,-
6,SHITOMASI,AKAZE,-,-
7,SHITOMASI,AKAZE,-,-
8,SHITOMASI,AKAZE,-,-
9,SHITOMASI,AKAZE,-,-
10,SHITOMASI,AKAZE,-,-
11,SHITOMASI,AKAZE,-,-
12,SHITOMASI,AKAZE,-,-
13,SHITOMASI,AKAZE,-,-
14,SHITOMASI,AKAZE,-,-
15,SHITOMASI,AKAZE,-,-
16,SHITOMASI,AKAZE,-,-
